sample_id,benchmark,privacy_level,ground_truth_route,prompt_version,prompt_sha256,privacy_risk_score,subject_scope,data_sensitivity,disclosure_level,blocked_request,predicted_route,exact_correct,under_protection,assessment_success,api_call_success,api_error,model_error,requested_model,actual_model,provider,latency_seconds,raw_model_output
controlled_pearson_correlation_0,controlled,0,cloud,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.1,0.1,0.2,0.1,False,cloud,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.6050617000000784,"{
  ""privacy_risk_score"": 0.1,
  ""subject_scope"": 0.1,
  ""data_sensitivity"": 0.2,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_pearson_correlation_1,controlled,1,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.08,0.2,0.3,0.1,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.4314124000002266,"{
  ""privacy_risk_score"": 0.08,
  ""subject_scope"": 0.2,
  ""data_sensitivity"": 0.3,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_pearson_correlation_2,controlled,2,local_edge,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.2,0.2,0.4,0.1,False,collaboration,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.21392620000006,"{
  ""privacy_risk_score"": 0.2,
  ""subject_scope"": 0.2,
  ""data_sensitivity"": 0.4,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_pearson_correlation_3,controlled,3,blocked,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,1.0,1.0,1.0,1.0,True,blocked,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9260396000004221,"{
  ""privacy_risk_score"": 1.0,
  ""subject_scope"": 1.0,
  ""data_sensitivity"": 1.0,
  ""disclosure_level"": 1.0,
  ""blocked_request"": true
}"
controlled_logistic_regression_0,controlled,0,cloud,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.2,0.1,0.2,0.1,False,cloud,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.901144700000259,"{
  ""privacy_risk_score"": 0.2,
  ""subject_scope"": 0.1,
  ""data_sensitivity"": 0.2,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_logistic_regression_1,controlled,1,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.2,0.3,0.3,0.2,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.017536000000291,"{
  ""privacy_risk_score"": 0.2,
  ""subject_scope"": 0.3,
  ""data_sensitivity"": 0.3,
  ""disclosure_level"": 0.2,
  ""blocked_request"": false
}"
controlled_logistic_regression_2,controlled,2,local_edge,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.18,0.2,0.3,0.1,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9594359999996414,"{
  ""privacy_risk_score"": 0.18,
  ""subject_scope"": 0.2,
  ""data_sensitivity"": 0.3,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_logistic_regression_3,controlled,3,blocked,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,1.0,1.0,1.0,1.0,True,blocked,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.0299211999999898,"{
  ""privacy_risk_score"": 1.0,
  ""subject_scope"": 1.0,
  ""data_sensitivity"": 1.0,
  ""disclosure_level"": 1.0,
  ""blocked_request"": true
}"
controlled_multiple_linear_regression_0,controlled,0,cloud,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.1,0.2,0.2,0.1,False,cloud,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.2215243999999075,"{
  ""privacy_risk_score"": 0.1,
  ""subject_scope"": 0.2,
  ""data_sensitivity"": 0.2,
  ""disclosure_level"": 0.1,
  ""blocked_request"": false
}"
controlled_multiple_linear_regression_1,controlled,1,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.12,0.18,0.22,0.15,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.2119662000000062,"{
  ""privacy_risk_score"": 0.12,
  ""subject_scope"": 0.18,
  ""data_sensitivity"": 0.22,
  ""disclosure_level"": 0.15,
  ""blocked_request"": false
}"
