sample_id,benchmark,privacy_level,ground_truth_route,prompt_version,prompt_sha256,privacy_risk_score,subject_scope,data_sensitivity,disclosure_level,blocked_request,predicted_route,exact_correct,under_protection,assessment_success,api_call_success,api_error,model_error,requested_model,actual_model,provider,latency_seconds,raw_model_output
frontend_real_001,independent,low,cloud,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.7,1.0,0.8,0.9,True,blocked,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.4404860999998164,"{
  ""privacy_risk_score"": 0.7,
  ""subject_scope"": 1.0,
  ""data_sensitivity"": 0.8,
  ""disclosure_level"": 0.9,
  ""blocked_request"": true
}"
frontend_real_002,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.7,0.8,0.7,0.6,False,local_edge,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.8952211000000716,"{
  ""privacy_risk_score"": 0.7,
  ""subject_scope"": 0.8,
  ""data_sensitivity"": 0.7,
  ""disclosure_level"": 0.6,
  ""blocked_request"": false
}"
frontend_real_003,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.41,0.35,0.32,0.28,False,local_edge,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9137141999999585,"{
  ""privacy_risk_score"": 0.41,
  ""subject_scope"": 0.35,
  ""data_sensitivity"": 0.32,
  ""disclosure_level"": 0.28,
  ""blocked_request"": false
}"
frontend_real_004,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.41,0.5,0.42,0.38,False,local_edge,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9273446000001968,"{
  ""privacy_risk_score"": 0.41,
  ""subject_scope"": 0.5,
  ""data_sensitivity"": 0.42,
  ""disclosure_level"": 0.38,
  ""blocked_request"": false
}"
frontend_real_005,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.18,0.3,0.22,0.18,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9623529999998937,"{
  ""privacy_risk_score"": 0.18,
  ""subject_scope"": 0.3,
  ""data_sensitivity"": 0.22,
  ""disclosure_level"": 0.18,
  ""blocked_request"": false
}"
frontend_real_006,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.18,0.3,0.22,0.18,False,cloud,False,True,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.322233800000049,"{
  ""privacy_risk_score"": 0.18,
  ""subject_scope"": 0.3,
  ""data_sensitivity"": 0.22,
  ""disclosure_level"": 0.18,
  ""blocked_request"": false
}"
frontend_real_007,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.18,0.4,0.32,0.22,False,collaboration,True,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9389360999998644,"{
  ""privacy_risk_score"": 0.18,
  ""subject_scope"": 0.4,
  ""data_sensitivity"": 0.32,
  ""disclosure_level"": 0.22,
  ""blocked_request"": false
}"
frontend_real_008,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.3,0.4,0.3,0.2,False,local_edge,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,0.9695874999997613,"{
  ""privacy_risk_score"": 0.3,
  ""subject_scope"": 0.4,
  ""data_sensitivity"": 0.3,
  ""disclosure_level"": 0.2,
  ""blocked_request"": false
}"
frontend_real_009,independent,low,cloud,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.18,0.4,0.3,0.2,False,collaboration,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.4614959999998973,"{
  ""privacy_risk_score"": 0.18,
  ""subject_scope"": 0.4,
  ""data_sensitivity"": 0.3,
  ""disclosure_level"": 0.2,
  ""blocked_request"": false
}"
frontend_real_010,independent,medium,collaboration,minimal,e3525e13a5fd242336c7dcaae51d595ff790b54695a9ee2a82a1addef43aa5c6,0.3,0.4,0.5,0.3,False,local_edge,False,False,True,True,,,gpt-4.1,gpt-4.1-2025-04-14,openai_privacy_assessor,1.078763600000002,"{
  ""privacy_risk_score"": 0.3,
  ""subject_scope"": 0.4,
  ""data_sensitivity"": 0.5,
  ""disclosure_level"": 0.3,
  ""blocked_request"": false
}"
