sample_id,task,prompt_version,prompt_sha256,dataset_sha256,user_request,raw_model_output,generated_call,generated_method,generated_arguments,expected_method,expected_arguments,structure_valid,request_match,execute_valid,result_valid,fully_correct,request_mismatches,error_stage,error_reason,validator_failure_stage,latency,api_call_success,evaluation_scored,api_error,model_key,model_display_name,model_hf_spec,model_alias,requested_model,actual_model,provider,quantization,generation_attempts,auto_correction_used
frontend_real_001,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for all athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""athlete_status"": ""public""}
)
```","result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""athlete_status"": ""public""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""athlete_status"": ""public""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,4.067997899954207,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_002,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for elite athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""sex""],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""age""],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""sex"", ""age""],
    filters={""athlete_level"": ""elite""}
)
```","result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""sex""],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""age""],
    filters={""athlete_level"": ""elite""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""elite_status"",
    controls=[""sex"", ""age""],
    filters={""athlete_level"": ""elite""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,3.9068064999300987,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_003,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for 3x3 basketball athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)
```","result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""athlete_position"": ""3x3"", ""athlete_type"": ""basketball""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,5.519697799929418,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_004,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for ice hockey athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""sex""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""age""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""sex"", ""age""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)
```","result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""sex""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""age""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""athlete_performance"",
    controls=[""sex"", ""age""],
    filters={""sport"": ""ice_hockey"", ""athlete_type"": ""public""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,5.417618200066499,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_005,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for volleyball athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""sex""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""age""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""sex"", ""age""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)
```","result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""sex""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""age""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""volleyball_performance"",
    controls=[""sex"", ""age""],
    filters={""sport"": ""volleyball"", ""athlete_type"": ""public""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,5.367621999932453,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_006,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for female athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""sex"": ""female""}
)
```","result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex""],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""age""],
    filters={""sex"": ""female""}
)

result = analysis.table1(
    predictors=[""domain1"", ""domain2"", ""domain3"", ""domain4"", ""domain5"", ""domain6"", ""domain7"", ""domain8""],
    target=""performance_metric"",
    controls=[""sex"", ""age""],
    filters={""sex"": ""female""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,3.7679477999918163,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_007,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for junior national team athletes using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""sex""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""age""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""sex"", ""age""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)
```","result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""sex""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""age""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""junior_national_team_status"",
    controls=[""sex"", ""age""],
    filters={""team_level"": ""junior"", ""team_status"": ""national""}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,5.379580199951306,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_008,table1,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four logistic regression models corresponding to Table 1 for athletes aged 20 and above using all eight public domains, with models using no controls, sex, age, and both sex and age.","```python
result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""sex""],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""age""],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""sex"", ""age""],
    filters={""age"": {""$gte"": 20}}
)
```","result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""sex""],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""age""],
    filters={""age"": {""$gte"": 20}}
)

result = analysis.table1(
    predictors=[""public_domain_1"", ""public_domain_2"", ""public_domain_3"", ""public_domain_4"", ""public_domain_5"", ""public_domain_6"", ""public_domain_7"", ""public_domain_8""],
    target=""target_variable"",
    controls=[""sex"", ""age""],
    filters={""age"": {""$gte"": 20}}
)",,{},,{},False,False,False,False,False,[],STRUCTURE_FAIL,ValueError: Exactly one restricted analysis assignment is required.,format_validation,4.956665299949236,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_009,table2,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four multiple linear regression models corresponding to Table 2 for all athletes, with expertise_value as the continuous target.","```python
result = analysis.table2(
    predictors=[""expertise_value""],
    filters={""athlete"": True},
    group=""expertise_value""
)
```","result = analysis.table2(
    predictors=[""expertise_value""],
    filters={""athlete"": True},
    group=""expertise_value""
)",table2,"{""filters"": {""athlete"": true}, ""group"": ""expertise_value"", ""predictors"": [""expertise_value""]}",table2,"{""filters"": {}, ""group"": ""all"", ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""]}",True,False,False,False,False,"[""Expected filters={} but generated filters={'athlete': True}."", ""Expected group='all' but generated 'expertise_value'."", ""Expected 8 public domains but generated 1.""]",REQUEST_MATCH_FAIL,Expected filters={} but generated filters={'athlete': True}. Expected group='all' but generated 'expertise_value'. Expected 8 public domains but generated 1.,request_validation,0.6034622000297531,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
frontend_real_010,table2,basic_interface,7d15561a1ba8dd3c5df5d19be4c9a32b4a20c0e3bad2035cf47c2fe66c0e688a,0bc7039317e46844def4a19078e22c9f0e5c654aa1c5a612bb0f009e095161e8,"Generate the four multiple linear regression models corresponding to Table 2 for elite athletes, with expertise_value as the continuous target.","```python
result = analysis.table2(
    predictors=[""expertise_value""],
    filters={""athlete_level"": ""elite""},
    group=""expertise_value""
)
```","result = analysis.table2(
    predictors=[""expertise_value""],
    filters={""athlete_level"": ""elite""},
    group=""expertise_value""
)",table2,"{""filters"": {""athlete_level"": ""elite""}, ""group"": ""expertise_value"", ""predictors"": [""expertise_value""]}",table2,"{""filters"": {""expertise_group"": ""elite""}, ""group"": ""all"", ""predictors"": [""muscular_strength"", ""lower_body_dynamics"", ""muscle_power_genetics"", ""blood_micronutrients"", ""basic_cognitive_function"", ""mental_health"", ""social_support"", ""training_conditions""]}",True,False,False,False,False,"[""Expected filters={'expertise_group': 'elite'} but generated filters={'athlete_level': 'elite'}."", ""Expected group='all' but generated 'expertise_value'."", ""Expected 8 public domains but generated 1.""]",REQUEST_MATCH_FAIL,Expected filters={'expertise_group': 'elite'} but generated filters={'athlete_level': 'elite'}. Expected group='all' but generated 'expertise_value'. Expected 8 public domains but generated 1.,request_validation,0.5961432000622153,True,True,,ministral,Ministral-3-8B,mistralai/Ministral-3-8B-Instruct-2512-GGUF:Q4_K_M,ministral-3-8b-local-eval,ministral-3-8b-local-eval,ministral-3-8b-local-eval,Local / llama.cpp,Q4_K_M,1,False
