cohort_category,cohort_value,filters,cohort_size,elite_count,semi_elite_count,analysis,figure2_size,structure_validation,request_match,local_execution,result_validation,filter_match,cohort_size_match,semantic_result_check,noise_utility_check,status,error
All athletes,all,{},300,25,275,table1,,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,table2,,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,figure1,,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,correlation,,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,figure2,20,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,figure2,50,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,figure2,80,True,True,True,True,True,True,True,True,PASS,
All athletes,all,{},300,25,275,figure2,All,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because both elite and semi-elite outcome classes are required.
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,table2,,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,correlation,,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,figure2,20,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,figure2,50,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,figure2,80,True,True,True,True,True,True,True,True,PASS,
Expertise group,elite,"{""expertise_group"": ""elite""}",25,25,0,figure2,All,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,table1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,ValueError: Table 1 logistic regression is not statistically applicable to the selected cohort because both elite and semi-elite outcome classes are required.
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,table2,,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,figure1,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Not enough elite or semi-elite athletes for variance comparison.
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,correlation,,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,variance_analysis,,True,True,False,False,False,False,False,False,NOT_APPLICABLE_STATISTICALLY,Elite/semi-elite sample variance requires at least two athletes per group. | ValueError: Variance analysis requires at least two elite and two semi-elite athletes in the selected cohort.
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,figure2,20,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,figure2,50,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,figure2,80,True,True,True,True,True,True,True,True,PASS,
Expertise group,semi_elite,"{""expertise_group"": ""semi_elite""}",275,0,275,figure2,All,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,table1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,table2,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,figure1,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,correlation,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,variance_analysis,,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,figure2,20,True,True,True,True,True,True,True,True,PASS,
Sport discipline,3x3 basketball,"{""sport"": ""3x3 basketball""}",35,4,31,figure2,50,True,True,True,True,True,True,True,True,PASS,
